v1.2 String List,v1.2 OpenOOH Enumearation ID,v1.1 OpenOOH Enumeration ID,v1.1 String List
health_beauty,4,4,health_beauty
health_beauty.gyms,401,401,health_beauty.gyms
health_beauty.gyms.lobby,40101,40101,health_beauty.gyms.lobby
health_beauty.gyms.equipment,40102,40102,health_beauty.gyms.equipment
health_beauty.salons,402,402,health_beauty.salons
health_beauty.salons.unisex,40201,40201,health_beauty.salons.unisex
health_beauty.salons.mens,40202,40202,health_beauty.salons.mens
health_beauty.salons.womens,40203,40203,health_beauty.salons.womens
health_beauty.salons.nails,40204,402,health_beauty.salons
health_beauty.salons.tanning,40205,402,health_beauty.salons
health_beauty.spas,403,403,health_beauty.spas
health_beauty.tattoo,404,402,health_beauty.salons
point_care,5,5,point_care
point_care.doctor_offices,501,501,point_care.doctor_offices
point_care.veterinary_offices,502,502,point_care.veterinary_offices
point_care.dentist_offices,503,501,point_care.doctor_offices
point_care.hospitals,504,501,point_care.doctor_offices
point_care.urgent_care,505,501,point_care.doctor_offices
point_care.physiotherapy,506,501,point_care.doctor_offices
education,6,6,education
education.schools,601,601,education.schools
education.colleges,602,602,education.colleges
education.colleges.residences,60201,60201,education.colleges.residences
education.colleges.common,60202,60202,education.colleges.common
education.colleges.athletics,60203,60203,education.colleges.athletics
education.colleges.dining,60204,602,education.colleges
office_buildings,7,7,office_buildings
office_buildings.office_buildings,701,701,office_buildings.office_buildings
office_buildings.office_buildings.elevator,70101,70101,office_buildings.office_buildings.elevator
office_buildings.office_buildings.lobby,70102,70102,office_buildings.office_buildings.lobby
office_buildings.office_buildings.gym,70103,401,health_beauty.gyms
office_buildings.office_buildings.break_room,70104,701,office_buildings.office_buildings
office_buildings.warehouse,702,701,office_buildings.office_buildings
entertainment,8,8,entertainment
entertainment.recreational,801,801,entertainment.recreational
entertainment.recreational.theme_parks,80101,80101,entertainment.recreational.theme_parks
entertainment.recreational.museums_galleries,80102,80102,entertainment.recreational.museums_galleries
entertainment.recreational.concert_venues,80103,80103,entertainment.recreational.concert_venues
entertainment.recreational.bowling,80104,801,entertainment.recreational
